time,rnk,cores,mode,uw,ov,ovm,overhead,ov,exp,mode,distrib
0.046031,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.146438,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.145718,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.141804,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.130398,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.135443,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.139967,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.131155,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.142838,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.121629,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.143716,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.047408,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.048908,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.047084,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046034,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.048294,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.048437,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044341,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.05033,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046207,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044494,0,2,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.042044,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.053333,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.053245,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.042966,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.035594,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.037829,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.045622,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.041084,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.043481,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.045986,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.036173,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038805,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.037553,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.035844,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.037509,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.03576,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034583,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.03769,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034386,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034013,0,3,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.055303,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.067319,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.070803,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.062384,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.048878,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.071696,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.07002,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.076252,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
